1032	326
1033	487
1034	39
1035	487
1036	801
1037	487
1038	326
1039	487
1040	39
1041	487
1042	801
1043	487
1044	326
1045	487
1046	39
1047	487
1048	801
1049	487
1050	326
1051	487
1052	39
1053	801
1054	487
1055	326
1056	487
1057	39
1058	487
1059	801
1060	487
1061	326
1062	487
1063	39
1064	487
1065	801
1066	487
1067	326
1068	487
1069	39
1070	487
1071	801
1072	487
1073	326
1074	487
1075	39
1076	487
1077	801
1078	487
1079	326
1080	487
1081	39
1082	487
1083	801
1084	487
1085	326
1086	39
1087	487
1088	487
1089	801
1090	487
1091	326
1092	487
1093	39
1094	487
1095	487
1096	801
1097	487
1098	326
1099	487
1100	39
1101	487
1102	801
1103	487
1104	326
1105	487
1106	39
1107	487
1108	801
1109	487
1110	326
1111	487
1112	39
1113	487
1114	801
1115	487
1116	326
1117	487
1118	39
1119	487
1120	801
1121	487
1122	326
1123	487
1124	39
1125	487
1126	801
1127	487
1128	326
1129	487
1130	39
1131	487
1132	801
1133	487
1134	326
1135	487
1136	39
1137	487
1138	801
1139	487
1140	326
1141	487
1142	39
1143	487
1144	801
1145	487
1146	326
1147	487
1148	39
1149	487
1150	487
1151	801
1152	487
1153	326
1154	487
1155	39
1156	487
1157	801
1158	487
1159	326
1160	487
1161	39
1162	487
1163	487
1164	801
1165	487
1166	326
1167	487
1168	39
1169	487
1170	801
1171	487
1172	326
1173	39
1174	487
1175	487
1176	801
1177	487
1178	326
1179	487
1180	39
1181	487
1182	801
1183	487
1184	326
1185	487
1186	487
1187	326
1188	487
1189	39
1190	487
1191	487
1192	801
1193	487
1194	326
1195	487
1196	39
1197	487
1198	487
1199	801
1200	487
1201	326
1202	487
1203	39
1204	487
1205	487
1206	801
1207	487
1208	326
1209	487
1210	39
1211	487
1212	801
1213	487
1214	326
1215	487
1216	39
1217	487
1218	487
1219	801
1220	487
1221	326
1222	487
1223	39
1224	487
1225	487
1226	801
1227	487
1228	326
1229	487
1230	39
1231	487
1232	801
1233	487
1234	326
1235	487
1236	39
1237	487
1238	487
1239	801
1240	487
1241	326
1242	487
1243	39
1244	487
1245	487
1246	801
1247	487
1248	326
1249	487
1250	39
1251	487
1252	801
1253	487
1254	326
1255	487
1256	39
1257	487
1258	801
1259	487
1260	326
1261	487
1262	39
1263	487
1264	801
1265	487
1266	326
1267	487
1268	39
1269	487
1270	487
1271	801
1272	487
1273	326
1274	487
1275	39
1276	487
1277	487
1278	801
1279	487
1280	326
1281	487
1282	39
1283	487
1284	801
1285	487
1286	326
1287	487
1288	39
1289	487
1290	487
1291	801
1292	487
1293	326
1294	326
1295	487
1296	39
1297	487
1298	487
1299	801
1300	487
1301	326
1302	487
1303	39
1304	487
1305	801
1306	487
1307	326
